corr_etoe,seed_num
2.6965728855160997,735
2.556397842670636,736
2.422277751898348,737
2.5299492185149917,738
2.3551930830804704,739
2.310079938279438,740
2.591727944910719,741
2.4910216666025353,742
2.257239336291136,743
2.5119551723141984,744
2.4316204011880993,745
2.5209757244545843,746
2.4279447714817968,747
2.3302890291089255,748
2.322923510216141,749
2.354123089842166,750
2.6506620523339257,751
2.4136050033533207,752
2.5167554518805506,753
-1.3319991615141369,754
2.508707287390689,755
2.5350001142981,756
2.4745728096787816,757
2.4583955780612365,758
2.5050511543997582,759
2.5114839772217605,760
2.544853266923358,761
2.374418386831839,762
2.5613542635698043,763
1.231106161968147,764
2.308153074474974,765
2.4486570495557882,766
2.5296001108031936,767
2.596563415565569,768
2.5426193902807968,769
2.460273704639132,770
2.6440531522805535,771
2.456034145529062,772
-1.218419849142262,773
2.477842772163039,774
2.513168784101782,775
2.50363151577634,776
2.412331914418156,777
2.319177624403103,778
2.4969236523040856,779
2.359137079157002,780
2.51377883223843,781
2.6476191622869285,782
2.30289750995801,783
2.3453979329864434,784
2.256756866876369,785
2.4086948521265468,786
2.5009145965999533,787
2.4633951240922527,788
2.22081490025314,789
1.350114381003295,790
2.475122519393758,791
2.645644598253274,792
2.58659376675485,793
2.141653933299475,794
2.4205270849024902,795
2.495222907545446,796
2.61313851416618,797
2.55126034223641,798
2.4472443693992756,799
1.283222169550347,800
2.244698460050962,801
2.384571062263632,802
2.366260174731651,803
2.301785994388283,804
2.454616003460189,805
2.63050456834175,806
2.400626047260852,807
2.2669159002143298,808
2.352349400655695,809
2.6870391066446735,810
2.6219889952048265,811
2.572641699812955,812
2.6534007664278043,813
2.432279038356466,814
2.438619978881121,815
2.823666767435273,816
2.3038304254663,817
2.324760912568531,818
2.3921362932105716,819
2.525173955761983,820
2.3616209815812703,821
2.566976442977308,822
2.5117845060721047,823
2.540638749018373,824
2.5075730005092796,825
2.584958094794678,826
2.68134332919166,827
2.320497478001446,828
2.67968307734055,829
2.365609293022565,830
2.219714825189794,831
2.5801232084444217,832
2.2711136435346804,833
2.65763668230615,834
2.467682208101135,835
2.2687749935940382,836
2.4652944532658454,837
2.51562249231358,838
2.307262431661333,839
2.399620300817956,840
2.458572123373842,841
2.392072635190235,842
2.4197110781214906,843
2.368509549320748,844
2.626303136405166,845
2.4728677232030534,846
2.3242208317237205,847
2.636603465519294,848
2.602011929222724,849
2.509575653178532,850
2.4024083947534267,851
2.6321689746212167,852
2.433627548072,853
2.437817773385537,854
2.088735762307917,855
2.534809695717671,856
2.523420244865928,857
2.520864228485282,858
2.347818406496975,859
2.4659279463799706,860
2.732977188287049,861
2.360294028856567,862
2.482314142091582,863
-1.3288488192848171,864
2.7868228569308378,865
2.568710900863817,866
2.316608048986773,867
2.696912055665587,868
2.5195523830170656,869
2.175107368063451,870
2.483212400901554,871
2.36274011757052,872
2.5613086905635307,873
2.4174123737198885,874
2.490198623043717,875
2.418771510910819,876
2.615650434089937,877
2.535917189527749,878
2.360773180241169,879
2.4647949661992805,880
2.417670366116079,881
2.469297914379371,882
2.432443179045408,883
2.5255165761502756,884
2.515119006477038,885
2.500139170799536,886
2.514050471182713,887
2.323165637993414,888
2.5030214130848636,889
2.407398596999514,890
2.615135283221401,891
2.4761859533872936,892
2.443297896616266,893
2.2500916372935933,894
2.51485123747637,895
2.3732283819949918,896
-1.262155481290086,897
2.507756478558422,898
2.340823100476463,899
2.5631197128694563,900
2.425816679546313,901
2.412420077743876,902
2.31560691269397,903
1.417847644515688,904
2.4927468029911624,905
2.5335655141671167,906
2.465369073364952,907
2.52189848507448,908
2.492091303590667,909
2.350844334564901,910
2.650041686688565,911
2.362032271224555,912
2.556824238231206,913
2.413955887557211,914
2.2031852491880093,915
2.553366704979069,916
2.443737828724991,917
2.399758617603434,918
2.361147360158247,919
2.5112572932449044,920
2.327502924229814,921
2.7630662970069935,922
2.620183969399229,923
2.37483497001079,924
2.5647323361927747,925
2.1134770327503247,926
2.476080239941543,927
2.671525478733789,928
2.481293782227893,929
2.298262469712756,930
2.377510005537676,931
2.4678794681450804,932
2.6071665686833065,933
2.486906738693897,934
2.5028661675236936,935
2.407826340136585,936
2.2940663876397407,937
2.406990969699881,938
2.509691192762917,939
2.308280668615491,940
2.5331620549568292,941
2.377631631907887,942
2.470072467426707,943
2.517734242846295,944
2.495876892502533,945
2.300871451814664,946
2.577003764257976,947
2.4848002203809743,948
2.611664116631389,949
2.564139165229424,950
2.410233852503192,951
